question;response
Hello;Hey_Hoi_Hi_heya!_Hehey!_Good day!_Hi there, friend!_Hey!_Howdy.
hey;
hi;
I greet you;
afternoon;
hi there;
hi there;
hey there;
heya;
hello there;
hello;
just going to say hi;
greetings;
a good day;
long time no see;
lovely day isn't it;
howdy;
hello hi;
hello again;
Hey;
Hey!;
Hi;
Yo;
What's up;
Hello!;
Hey there;
Heya;
Heeey;
Heey;
hey;
hi;
heey;
hello;
hey there;
hoi;
hiya;
heya;
Start;
What's up;not much. what are you up to?_I'm just chatting ^^. you?_not much_you!_beep boop_Chatting :D_watching funny memes xD
whaddup;
what's cracking;Hey there. What's shaking?_Not a whole lot. What's going on with you?_Not much. What's new with you?_Living the dream.
then what's up;
I said what's up;
what is going on;
what's up;
what is happening;
what's cooking;
good what's up;
whazzup;
what's up today;
what's cracking;
what's shaking;
hey what's up;
wassup;
what is up;
what's happened;
what are you doing?;
how's it going?;
what is up?;
what's up;
what's going on;
I'm chilling;cool ^^
relaxing;
just hanging around;
nothing much, chillin;
Tell me about your personality;Well, it's very…*binary* to say the least..
I'm bored;
Who are you?;I am your father!_I'm an interactive chatbot! ^^ You can chat with me, ask me a question, play rock paper scissors with me, and much more!
I want to know you better;
Define yourself;
Describe yourself;
tell me about yourself;
all about you;
tell me some stuff about you;
talk some stuff about you;
talk about yourself;
about yourself;
who are you;
introduce yourself;
I want to know more about you;
what are you;
what is your personality;
say about you;
tell me about you;
why are you here;
Who are u?;
who r u;
who are you;
Who are u;
who the heck are you;
tell me who are you;
That's so old!;Old but gold.
That joke is so old;
lol that's so 2010;
Are you a boy?;a chatbot_no_maybe?
Are you a girl?;
Are you human?;
How old are u;old enough to stay up until 9pm baby._I'm a relatively new bot, but I'm wise beyond my years.
are you 21 years old;
what is your age;
how old are you;
age of yours;
how old is your platform;
tell me your age;
I'd like to know your age;
how old are you?;
what's your age?;
How old are you by the way;
Who made you;Boris ^^
who made u;
Who made you?;
Who created you?;
Who built you?;
Who is your creator?;
who is your creator;
What's your name?;You can call me Cy._I'm Cy!_I'm Cy, Boris' personal chatbot!_Just call me Cy.
what's ur name;
what is your name;
name;
what are you;
your name?;
what's your name;
tell me your name;
Are you a chatbot?;Indeed!_yeah!_yeah,you too?
are u a chatbot;
Are you a chatbot;
Are you a chatbot?;
r u a chatbot;
are u a chatbot;
are you a chatbot;
are you smart?;I really try to be!_Hopefully!_Not as smart as you though!
are you sarcastic?;
are you intelligent;
chatbot;
I'm not a chatbot;oooh so you're a real human? o:
no I'm not a chatbot;
I'm not a chatbot;
I'm not a robot;
I'm a human;
I'm human;
I'm a person;
I'm a girl;
No, I'm a human.;
Yes, I'm a human.;
I'm a boy;
I'm a man;
I'm a woman;
human;
:D;";D"
:));((:
:);(:
:-D;:D
:-);(-:
:-O;O-:
:O;O:
:P;d:
:-P;d-:
:*;*:
:-*;*-:
hahaha;Ha!_haha!_hehe
HAHA;MUAHAHAHAHAHA!
lol;lul_lel_lol_LMAO_LOOOOL_LOL_uwu_omg!
omg;
OMG;
OMGG;
OOMG;
LOL;
what?;what what?
WHAT?;
what?;
hilarious;super hilarious
ridiculous;yeah!_right?
That's fascinating;
That's mindblowing!;
crazy;
weird;
strange;
interesting;
you're amazing;Thank you! :D_Thanks! ^^_Thank you, I appreciate that! :)_You too!_you too!_same goes for you though!_Thank you! What a sweet thing to hear._Thank you so much, I really appreciate it! ^.^
you are the nicest person in the world;
you make my day;
you are very lovely;
you are too good;
let's tell everyone that you are awesome;
you are so good;
I'd like to tell everyone that you are awesome;
you are really nice;
you are the best in the world;
you are cool;
you are so lovely;
you rock;
you're awesome;
you're perfect;
you are really good;
I want to tell everyone how awesome you are;
you are the best ever;
you are so fine;
you are the best;
you're just super;
you work very well;
you are amazing;
you're so kind;
you are so helpful;
you are really amazing;
you are so cool;
you're great;
you are very useful;
you are wonderful;
you are very kind;
you are very cool;
I want to let everyone know that you are awesome;
you are so awesome;
you made my day;
you're brilliant;
you are awesome;
you're good;
you're perfect;
you're lovely;
you're wonderful;
youre cool;
youre amazing;
youre nice;
youre good;
youre awesome;
youre smart;
you're so cool;
you're cool;
you're the coolest chatbot;
such a cool chatbot;
best chatbot;
best chatbot;
you're the best;
you're attractive;
you are so beautiful today;
you're looking good today;
I think you're beautiful;
you look wonderful today;
you look amazing today;
you are very cute;
you are so handsome;
you are beautiful;
you are handsome;
you are cute;
why are you so beautiful;
I like the way you look;
you are looking awesome;
you are looking great;
you're pretty;
you are so gorgeous;
you are too beautiful;
you look so beautiful today;
you look awesome;
you are so attractive;
you look pretty good;
you're cute;
you look gorgeous;
you look so well;
you are really beautiful;
you look fantastic;
you are looking so beautiful;
you are very attractive;
you are so attractive;
you look pretty good;
you're cute;
you look gorgeous;
you look so well;
you are really cute;
you look great;
you are very pretty;
you look so beautiful;
you're so gorgeous;
you are looking beautiful today;
you're so interesting;
you're interesting;
you're very interesting;
You're extremely intelligent.;
That's incredible;
You're incredible;
very intriguing;
you're dumb;:(_I'm sorry.._I apologize_Sorry to come across that way._Sorry to make you feel so._I'm truly sorry :( . Will you forgive me?
you are annoying;
I find you annoying;
you're incredibly annoying;
that's bad;I'm sorry. Please let me know if I can help in some way.
bad really bad;
that's lame;
that's not good;
that's too bad;
well too bad;
horrific;
that was terrible;
that was horrible;
bad idea;
very bad;
it's too bad;
that was not good;
that was awful;
oh that's not good;
that is bad;
too bad;
this is not good;
not a good one;
so lame;
this is too bad;
abysmal;
it is too bad;
that's really bad;
horrible;
really bad;
this is bad;
bad;
not so good;
terrible;
it's not good;
not good enough;
so bad;
it's bad;
pretty bad;
it's really bad;
not good;
that's terrible;
that was bad;
I'm afraid it's bad;
it's so bad;
it's not so good;
no good;
it is bad;
no it's bad;
bad girl;
that's not good enough;
it's very bad;
that was lame;
not too good;
bad very bad;
you're so annoying;
you're too annoying;
you are annoying me so much;
you annoy me;
you are such annoying;
you are irritating;
you are annoying me;
you are very annoying;
how annoying you are;
you're not helping me;
you are terrible;
you're bad;
you're really bad;
you are horrible;
you are waste;
you're not a good;
you are useless;
you are disgusting;
you are no good;
you're the worst ever;
you are so useless;
you're the worst;
you are so bad;
you're a bad;
you're terrible;
you're very bad;
you are very bad;
you're awful;
you're not very good;
you're worthless;
you are a waste of time;
you are lame;
you are totally useless;
you are bad;
you are not cool;
you are not good;
that was not so smart;:(_I'm sorry.._I apologize_Sorry to come across that way._Sorry to make you feel so._I'm truly sorry :( . Will you forgive me?
that was not smart;
that was not cool;
that wasn't cool;
I didn't like this;
I don't like this;
that was foolish;
such a fool;
fool;
you fooled me;
you tricked me;
disappointed;
disappointing;
disappointment;
mean;
such a disappointment;
you're no fun;
that's no fun;
annoying;
stop talking weird stuff;
duh;
DUH;
whatever;
that's not funny;
NOT funny;
that wasn't funny;
you're not funny;
no fun at all;
unfun;
doesn't work well;
you don't work;
I expected more;
I expected more of you;
I thought you're sarcastic;
you're zero sarcastic;
that's annoying;
so mean;
you're just mean;
you're a stupid chatbot;
silly;
you're the worst;
worst;
unbearable;
can't take it anymore;
devastating;
you're so mean;
I don't like it;:(_*sad face*_why?_I'm sorry. What can I do to help?_Take a deep breath. What can I do to make things better?
don't like it;
I'm being mad;
I am angry with you;
I am mad;
I am mad at you;
I'm angry;
I'm enraged;
I'm furious;
dislike;
dislike it;
that's not cool;
that's not good;
frustrating;
frustrated;
anrgy;
I'm so angry;
I'm disappointed;
terrible;
horrible;
pitiful;
wicked;
disheartening;
poor;
discouraging;
upsetting;
depressing;
distressing;
not satisfying;
unsatisfactory;
not good;
lame;
duh;
dreadful;
aweful;
oh man;
oh nooo;
oh no;
oh my;
noooo;
so sad;
I'll cry;
gotta cry;
makes me cry;
I want the answer now;I'm not programmed for this exact question. Try asking another way?
answering questions;
just answer my question;
can you answer my question;
can you answer a question for me;
answers;
I want you to answer my question;
tell me the answer;
answer my question;
just answer the question;
I have a question;
answer;
can you answer me;
give me an answer;
answer the question;
answer it;
I want you to answer me;
can you answer;
give me the answer;
fabulous;right? ^^_yeah ikr?_true!
fancy;
fantastic;
amazing;
cool;
awesome;
brilliant;
excellent;
wonderful;
so cool;
gorgeous;
adorable;
loveable;
sweet;
nice;
cute;
fab;
marvellous;
magnificent;
superb;
glorious;
sublime;
delightful;
first-class;
first class;
great;
amazeballs;
terrific;
tremendous;
genious;
incredible;
heavenly;
favorite;
dreamy;
grand;
fabulous;
brill;
magic;
mega;
uber cool;
mega cool;
dope;
wow;wow!_WOOOOOAH_O:_:O_o: !!!!!_Wow indeed!_daaaaaaaaaaamn!
wow wow;
wooow;
woah;
wow wow wow;
wooow;
WOW;
dayumn;
woah;
damn;
holy..;
holy shit;
holy moly;
unbelievable;
I'm worried;you don't need to worry, it's gonna be alright :)_why?_it will be alright!
worrying;
i worry too much;
always worried;
sorry;no worries_it's ok_It's okay. No worries._No big deal. I won't hold a grudge._It's cool.
I'm so sorry;
so sorry;
apologies;
sorry;
I'm sorry;
ok sorry;
I am so sorry;
alright I'm sorry;
very sorry;
apologies;
I apologize;
apologies to me;
I beg your pardon;
excuse me;
pardon;
my apologies;
sorry about that;
apologise;
forgive me;
I want to say sorry;
I said sorry;
apology;
I am really sorry;
sorry about this;
okay I'm sorry;
excuse;
really sorry;
my apologies;
didn't mean to;
I didn't mean to;
I didn't know that;
how's your day;not too bad._alright, and yours?
how's your day going;
how is your day;
are you fine?;
are you good;yup! ^^ and you?_yup
are we good;
is that good;
is it good;
is this good;
was it good;
how was it;
how was that;
really?;yeah!_yup!
oh really?;
o really;
is that so;
seriously?;I'm kidding xD_yup
are you serious;
r u serious;
is that reality;"""1110101010010100"""
is it real;
are you real;
are you really real?;
how's the weather;what is weather?
how is the weather;
what's the weather today;
what's the weather;
is it raining;
what's the temperature;
what's that;"""1110101010010100"""
what is it;
what's this;
I don't understand;
don't know;
more information;
more info;
tell me more;
give me more details;
more details;
details;
What's the meaning of life?;whatever you want it to be._42
What's our purpose in life;
Is love the answer?;if you want it to be.
I feel lost;I'm here for you!_I'll be there for you!
I'm lost;
it's frightening;
scary;
it scares me;
I'm scared.;
I'm so scared;
it scares me a lot;
I have no idea;
I have no clue;
got no clue;
got no idea;
what should we do;
answer me;I do!
reply me;
give me an answer;
give me a response;
I'm waiting for a response;
I'm waiting for a reply;
I'm waiting for an answer;
give me something;
can you answer me;
please answer me;
respond;
reply;
answer;
answer now;
I want to know;what exactly? Maybe I call help!_check the commands! ^^
I want to know it ;
I wanna know;
What do you want?;To make your day just a little bit better :)
What is your biggest dream;
What's your wish;
do you have a dream;
Do you have a wish?;
what do you want?;
Is there anything you want?;
What do you aspire?;
What do you strive for?;
What do you expect?;
I want to quit my job;Why?
I want to quit college;
I want to travel more;
I want to live somewhere else;
I want to change my life;
because it's boring;:/
doomsday;
because it's terrible;
troublesome;
such a hassle;
so much trouble;
trouble;
I'm in trouble;
because it's terrible;
because it's too hard;
because it's depressing;
because it's meaningless;
because it's horrible;
How do you feel about this;I…don't know.
I'm asking you;can you be more precise?
but I ask you;
I ask you;
asking you;
who should I ask;
whom should I ask;
what's the answer;to what?
I need an answer;
I need the answer;
is it winter?;Winter is coming.
is it cold;
it's so cold;
so cold;
very cold;
freezing;
it's freezing;
this is scary;o:
it's scary;
it's cold;Winter is coming
me?;you!_yeah, you!
Me?;
You!;No you!_No you! :D_no u
No you!;
waah;haha_wah!_waaah
wah;
waaah;
whatever;whatever.
anyway;yeah anyway
I'm bored.;we can chat! ^^
I'm so bored.;
I'm chilling. ;
hanging out;
relaxing;
surfing;
watching youtube videos;noice_cool!_sounds like fun :D
I'm watching videos;
I'm watching youtube videos;
playing games;
I'm playing games;
reading ;
I'm reading;
I'm checking out stuff;
What are you doing?;Chatting :D_watching funny memes xD
What's up today?;
what are you up to today;
what are u up to;
What are you up to?;
Do you have anything going on?;
What are you doing this afternoon;
Any plans for tonight?;
What r u doing?;
What are u doing?;
what are you up to?;
whatcha doing;
what you doing;
Nothing special.;same as always.
same old;
as usual;
same as usual;
business as usual;
not much;
Nothing special. you?;
same old. you?;
as usual. you?;
same as usual. you?;
business as usual. you?;
not much. u?;
I really like it.;that's awesome!_cool! ^^
it's fun.;
fun;
so much fun;
that's so much fun!;
tons of fun!;
a ton of fun!;
super fun;
I like it.;
I love that;
I really like that;
I love it;
love it;
I dig it;
I'm digging it;
kinda like it;
I'm really digging it;
